RWIS SUB SENSOR REPORT
======================

SITE      SITE NAME                                                   SENSOR    SENSOR NAME                                       ISSUES
OH170F    D09 OH170F ADA SR32 24.68- SR32 @ CR16 Union Hill Rd        0         SubSurface Sensor                                 No Reading
OH171F    D06 OH171F FRA IR71 97.49- IR71 @ SR665                     0         SubSurface Sensor                                 No Reading
OH173F    D01 OH173F HAN US30 12.22- US30 @ SR68                      0         SubSurface Sensor                                 No Reading
OH175F    D01 OH175F HAR SR235 04.42- SR235 @ SR67                    0         SubSurface Sensor                                 No Reading
OH176F    D01 OH176F VAN SR49 01.44- SR49 @ SR81/St. Mary's R.        0         SubSurface Sensor                                 No Reading
OH178F    D01 OH178F DEF SR2 00.00- SR2 @ Indiana line                0         SubSurface Sensor                                 No Reading
OH179F    D10 OH179F ATH US33 3.44- US33 @ SR78 & SR691               0         SubSurface Sensor                                 No Reading
OH182F    D07 OH182F SHE IR75 86.73-IR75 S of Kirkwood R              0         SubSurface Sensor                                 No Reading
OH183M    D06 OH183M FRA IR71 @ IR270 South Columbus                  0         SubSurface Sensor                                 No Reading
OH184M    D08 OH184M GRE IR675 0 78 IR 675 North of Feedwire Rd       0         SubSurface Sensor                                 No Reading
OH185M    D07 OH185M MOT IR75 14.91- IR 75 @ Stanley Ave              0         SubSurface Sensor                                 No Reading
OH186M    D12 OH186M LAK I-90 EB @ CR 100 (River Rd)                  0         SubSurface Sensor                                 No Reading
OH188M    D12 OH188M LAK I-90 EB @ OH-86 (Painesville Warren Rd)      0         SubSurface Sensor                                 No Reading
OH190M    D12 OH190M LAK I-90 WB @ CR221                              0         SubSurface Sensor                                 No Reading
OH191F    D08 OH191F WAR IR71 35.00-IR71 @ Jeremiah Morrow Bridge     0         SubSurface Sensor                                 No Reading
OH193M    D01 OH193M PAU US24 @ Ohio Stateline                        0         SubSurface Sensor                                 No Reading
OH194M    D08 OH194M HAM IR275 @ Louisville Pike                      0         SubSurface Sensor                                 No Reading
OH195M    D10 OH195M WAS IR77 @ SR7 Interchange                       0         SubSurface Sensor                                 No Reading
OH196M    D10 OH196M ATH US33 @ SR78 & SR691                          0         SubSurface Sensor                                 No Reading
OH197M    D12 OH197M CUY IR480 N @ Miles Rd                           0         SubSurface Sensor                                 No Reading
OH198M    D05 OH198M GUE IR77 @ 70                                    0         SubSurface Sensor                                 No Reading
OH200M    D04 OH200M SUM IR271 @ IR77                                 0         SubSurface Sensor                                 No Reading
OH201M    D04 OH201F&M MAH SR711 @ US422                              0         SubSurface Sensor                                 No Reading
OH202M    D12 OH202M CUY IR480 @ SR10                                 0         SubSurface Sensor                                 No Reading
OH203M    D12 OH203M CUY IR271 @ US322                                0         SubSurface Sensor                                 No Reading
OH205M    D12 OH205M LAK I-90 EB @ CR221                              0         SubSurface Sensor                                 No Reading
OH206M    D08 OH206M BUT IR275 @ IR75 Hamilton Butler County Line     0         SubSurface Sensor                                 No Reading
OH207M    D08 OH207M WAR IR75 @ Warren/Montgomery County Line         0         SubSurface Sensor                                 No Reading
OH208M    D12 OH208M LAK I-90 WB @ CR141 (S County Line Rd)           0         SubSurface Sensor                                 No Reading
OH210M    D06 OH210M FRA I670-Airport Connector                       0         SubSurface Sensor                                 No Reading
OH211M    D12 OH211M LAK I-90 WB @ OH86 (Painesville Warren Rd)       0         SubSurface Sensor                                 No Reading
OH215M    D12 OH215M LAK I-90 EB @ CR 413 (Hermitage Rd)              0         SubSurface Sensor                                 No Reading
OH217M    D12 OH217M GEA SR528 @ SR87                                 0         SubSurface Sensor                                 No Reading
OH218M    D12 OH218M CUY IR71 @ Snow Road                             0         SubSurface Sensor                                 No Reading

